word,target_window
<!next,11
???,22
@169;v,42
@170;,10
@171;,10
@172;,3
@243;,46
above,19
aiiin,35
aiin,20
aiinal,22
aiiny,40
aiir,35
aiiraly,7
aikhy,25
ail,18
aildy,42
aim,7
ain,8
air,20
airal,38
airam,34
airod,29
airody,25
airol,5
airoy,10
aithy,46
aiy,5
akain,33
aky,40
al,35
alaiin,12
alain,18
alal,18
alam,28
alar,40
alched,21
alchedy,43
alches,31
alchey,14
aldaiin,31
aldy,8
alkaiin,3
alkain,37
alkal,3
alkam,29
alkar,43
alkeedy,0
alkeey,23
alkey,2
alky,25
alod,9
alodaiin,28
alody,2
alol,43
alom,8
alor,24
als,22
aly,40
am,35
ar,20
araiiin,29
araiin,43
arain,8
aral,35
araly,11
aram,49
arar,12
arodl,28
arody,12
arol,20
arom,0
aror,44
arshey,0
ary,1
as,40
c,10
cfhey,42
cfhol,40
cfhy,6
ch,40
ch'eey,15
chady,45
chaiin,33
chain,20
chal,35
chalkar,34
chaly,33
cham,8
chan,35
char,8
charaiin,5
charain,22
charam,49
chary,6
chcfhhy,44
chcfhy,25
chckhaiin,6
chckhal,18
chckhd,2
chckhdy,43
chckhedy,14
chckhey,43
chckhhy,41
chckhol,48
chckhy,35
chcphedy,34
chcphey,44
chcphhy,40
chcphy,1
chcthal,2
chctham,31
chcthdy,49
chcthedy,46
chcthey,49
chcthhy,1
chcthody,29
chcthy,20
chd,38
chdaiin,37
chdain,43
chdair,29
chdal,20
chdaly,9
chdam,1
chdar,8
chdor,6
chdy,20
cheaiin,41
cheal,20
chealy,22
cheam,8
chear,20
cheary,34
chechey,34
checkhed,11
checkhey,12
checkhol,28
checkhy,35
checphey,25
checthey,2
checthy,37
ched,20
chedaiin,20
chedain,43
chedal,35
chedam,15
chedar,35
chedol,20
chedor,24
chedy,20
cheeal,3
cheeb,38
cheed,25
cheedaiin,24
cheedain,5
cheedar,6
cheedy,35
cheeey,1
cheekain,46
cheekey,33
cheeky,43
cheeo,12
cheeodam,3
cheeody,43
cheeol,37
cheeor,33
cheeos,8
chees,37
cheesy,44
cheeteey,46
cheety,18
cheey,20
chefchy,1
chek,15
chekaiin,0
chekain,12
chekal,8
chekar,14
chekchy,49
chekedy,2
chekeedy,0
chekeey,12
chekey,43
chekody,10
cheky,43
cheo,37
cheoaiin,25
cheoal,22
cheoar,8
cheockhy,15
cheocphey,38
cheocthy,15
cheod,46
cheodaiin,14
cheodain,14
cheodal,1
cheodam,41
cheodar,28
cheodor,40
cheody,35
cheokaiin,48
cheokain,49
cheokal,17
cheokam,4
cheokchy,3
cheokedy,21
cheokeeo,36
cheokeey,8
cheokeol,13
cheokey,18
cheoky,1
cheol,35
cheoldy,15
cheolkaiin,0
cheolkain,40
cheolkeedy,41
cheolor,24
cheoly,40
cheom,2
cheor,20
cheoraiin,10
cheorol,28
cheos,37
cheoty,14
cheoy,23
chep,15
chepchedy,23
chepchy,12
chepy,49
ches,20
chetaiin,10
chetain,14
chetar,6
chetchy,40
chetedy,41
cheteey,48
chetey,33
chety,37
chey,20
cheykaiin,23
cheykain,24
cheyky,46
cheytain,28
cheytal,15
chkaiin,1
chkain,33
chkal,43
chkaly,18
chkar,43
chkchol,22
chkchy,46
chkedy,33
chkeey,14
chkey,43
chkol,1
chkor,3
chky,35
chl,33
chlal,38
chlar,34
chll,24
chlol,24
chls,3
cho,20
choaiin,1
choar,18
chochy,28
chockhar,31
chockhey,14
chockhy,43
chocphy,34
chocthey,14
chocthy,20
chod,8
chodaiin,20
chodain,44
chodal,12
chodaly,49
chodar,1
chodchy,23
chody,37
choiin,8
chok,48
chokaiin,33
chokain,33
chokal,46
chokam,10
chokar,33
chokchaiin,26
chokchedy,34
chokchey,25
chokchol,6
chokchy,20
chokedy,8
chokeedy,29
chokeeey,5
chokeey,43
chokeody,15
chokeol,12
chokey,49
choko,29
chokol,46
chokor,2
chokshor,32
choky,20
chol,20
cholaiin,28
cholal,28
cholchedy,2
cholcheol,28
cholches,25
cholchey,31
choldaiin,0
choldam,10
choldy,46
cholkaiin,1
cholkain,30
cholkal,46
cholkar,49
cholkedy,3
cholkeedy,24
cholkeeey,29
cholkeey,15
cholky,3
cholody,24
cholor,33
chols,18
choly,8
chom,43
chool,4
choor,42
chopchdy,4
chopchy,38
chor,20
choraiin,14
chorain,42
chorchy,43
chordy,38
chorol,29
choror,10
chory,49
chos,33
chosaiin,18
chot,5
chotaiin,43
chotain,1
chotal,46
chotam,5
chotar,14
chotchdy,23
chotchy,1
chotedy,40
choteey,43
choteol,18
chotey,40
choto,32
chotol,49
chotols,13
chotom,16
chotor,28
choty,20
choy,33
chpal,31
chpchy,12
chr,43
chs,1
chsdy,49
chsey,2
chsky,14
chso,38
chtaiin,11
chtain,24
chtal,1
chtar,48
chtchy,44
chteey,5
chtl,21
chtol,6
chty,1
chy,20
chydy,14
chykchy,43
chyky,1
chyty,49
ckhaiin,18
ckhal,15
ckham,25
ckhar,10
ckhedy,25
ckheey,43
ckheody,6
ckheol,49
ckheos,24
ckhey,20
ckhody,12
ckhol,49
ckhor,33
ckhos,41
ckhy,37
cky,2
cphaiin,3
cphar,2
cphedy,46
cpheo,11
cpheodar,24
cpheor,3
cphey,33
cphol,35
cphor,29
cphy,6
ctha:or,25
cthaiin,43
cthain,25
cthal,24
cthar,8
cthdy,15
cthedy,12
ctheey,37
ctheo,22
ctheod,10
ctheody,49
ctheol,14
ctheor,43
cthey,33
cthhy,15
ctho,37
cthodaiin,2
cthodal,23
cthody,37
cthoiin,1
cthol,20
ctholy,14
cthom,12
cthor,35
cthy,35
cthyd,42
cto,34
d,33
da,6
daar,31
daiidy,49
daiiin,43
daiim,18
daiin,20
daiindol,41
daiindy,42
daiir,37
daiiral,23
daim,8
dain,43
dair,20
dair:in,28
dairal,18
dairam,38
dairar,1
dairin,3
dairody,5
dairy,46
daky,38
dal,20
dalaiin,6
dalal,6
dalam,20
dalar,1
dalchdy,18
dalchedy,46
dalchey,15
dalchy,25
daldaiin,14
daldy,43
dalkar,38
dalkedy,46
dalo,41
dalol,24
dalom,41
dalor,14
dals,40
dalshdy,40
dalshedy,43
daly,35
dam,43
dan,8
dar,20
daraiiin,31
daram,12
darar,48
darary,13
darchedy,24
dardy,17
darol,29
darom,40
daror,23
dary,43
das:r,7
dchaiin,46
dchal,40
dchdar,3
dchdy,20
dchedy,20
dcheedy,7
dcheeody,48
dcheeos,32
dcheey,33
dcheo,38
dcheol,14
dcheor,18
dcheos,0
dchey,15
dcho,24
dchokchy,2
dchol,14
dchor,14
dchy,12
dchydy,13
deedy,48
deeedy,29
deey,46
dl,15
dlar,41
dlchd,44
do,35
do:ar,24
doaiin,11
dody,14
doiiin,28
doiin,43
doiir,0
dol,8
dolchedy,23
dolor,1
dolshedy,8
doly,49
dom,41
dor,37
dory,40
dshdy,20
dshedy,35
dsheedy,1
dshees,32
dsheey,24
dsheo,10
dsheody,26
dsheol,49
dshey,1
dsho,33
dshol,42
dshor,46
dshy,15
du,17
dy,20
dychol,0
dydy,22
dydydy,40
dykaiin,24
dykchy,31
dyky,29
dyoty,44
dytchy,17
dyteey,0
dyty,0
e,21
eedy,15
eeedy,49
eees,43
eeey,18
ees,14
ety,12
f,22
far,7
fchdy,2
fchedy,43
fcheey,49
fcheody,11
fchor,2
fol,7
g,2
g:m,31
k,46
kaiiin,28
kaiin,35
kain,33
kair,35
kairam,34
kal,8
kaldy,40
kalkal,3
kam,5
kan,42
kar,20
kary,40
kchaiin,7
kchdal,34
kchdy,49
kchedy,35
kcheey,1
kcheo,13
kcheodaiin,39
kcheody,33
kcheol,8
kcheor,48
kchey,20
kchod,5
kchody,28
kchol,33
kchor,37
kchos,24
kchy,20
kechedy,48
kedar,18
kedy,8
keear,6
keechey,29
keedal,40
keedy,35
keeeol,11
keeey,8
keeo,41
keeody,40
keeol,33
keeor,48
keey,20
keodaiin,1
keody,37
keol,35
keor,33
key,49
kody,12
kol,20
koldy,3
kor,37
korchy,3
kshar,28
kshdy,8
kshedy,2
ksheeol,5
ksheo,3
ksheody,18
kshey,33
ksho,46
kshy,14
ky,40
l,43
laiiin,25
laiin,8
lain,1
lal,6
lam,28
lar,33
lchal,46
lchar,46
lchdy,43
lcheal,44
lcheam,7
lcheckhy,3
lched,2
lchedam,31
lchedar,2
lchedy,35
lcheedy,46
lcheey,8
lcheo,3
lcheod,28
lcheody,5
lcheol,33
lcheor,44
lchey,20
lchg,17
lchl,13
lcho,1
lchody,25
lchol,15
lchor,40
lchs,49
lchy,46
ld,42
ldaiin,15
ldar,12
ldy,8
lfchy,5
lg,28
line,39
lkaiin,35
lkaiir,11
lkain,20
lkair,48
lkal,1
lkam,3
lkar,35
lkchdy,2
lkchedy,20
lkchey,43
lkchy,2
lkechedy,3
lkedain,12
lkedal,31
lkedy,37
lkeed,6
lkeedy,20
lkeeedy,6
lkeeey,12
lkeeody,8
lkeeol,12
lkeeor,5
lkeey,37
lkeo,48
lkeody,0
lkeol,12
lkey,33
lkl,46
lkol,8
lkor,15
lkshedy,24
lkshey,11
lky,35
lo,14
lod,34
lodaiin,18
lody,34
loeees,2
loeey,34
loiiin,41
loiin,18
lokam,7
lokeedy,2
lokeey,18
lol,1
lolkaiin,28
lolshedy,15
loly,6
lom,40
lor,20
los,46
loty,31
lpchdy,5
lpchedy,40
lr,33
lraiin,41
lrain,3
ls,24
lsaiin,44
lshedy,8
lsheedy,12
lsheey,33
lsheody,15
lsheol,3
lshey,35
lshor,40
lshy,46
ltaiin,10
ltain,3
ltal,44
ltary,29
ltedy,37
lteedy,12
lteey,15
lty,21
ly,3
m,1
n,45
o,20
o:al,5
o>,36
oaiin,43
oain,8
oair,4
oal,31
oar,1
oaral,31
ochedy,8
ocheey,44
ochey,28
ochol,24
ochor,40
ochos,40
ochy,44
ockhedy,1
ockhey,1
ockhhy,23
ockhy,49
octhdy,21
octheody,11
octhey,48
octhody,14
octhos,38
octhy,33
od,14
odaiiin,2
odaiin,8
odain,35
odair,28
odal,33
odaly,0
odam,15
odar,35
odeedy,29
odeeey,34
odeey,40
odl,10
odor,37
odr,42
ody,37
oedy,31
oeear,25
oeedaiin,24
oeedy,8
oeeeos,28
oeees,2
oeeey,44
oeeody,45
oeeor,23
oeeos,41
oees,14
oeesaiin,23
oeey,49
oekeody,18
oekey,23
ofaiin,11
ofal,2
ofar,2
ofchdy,24
ofchedy,18
ofchey,25
ofchy,3
oiiin,37
oiin,20
oiir,24
oikhy,34
oin,33
oithy,28
ok,31
okaiiin,40
okaiin,20
okaiir,37
okain,35
okair,37
okairy,18
okal,20
okalaiin,34
okalal,40
okalam,21
okalchedy,15
okalchy,6
okaldy,37
okalody,0
okalol,48
okalor,0
okaly,43
okam,37
okan,3
okar,37
okaraiin,25
okaral,37
okaram,32
okarar,1
okarol,17
okary,3
okchaiin,18
okchal,40
okchan,17
okchar,8
okchd,2
okchdar,40
okchdy,33
okche:eeey,5
okchedam,30
okchedy,20
okcheey,0
okcheody,16
okcheor,29
okchey,20
okcho,25
okchody,40
okchol,43
okchom,16
okchor,8
okchy,35
okeal,33
okeam,22
okear,1
okechdy,33
okechedy,24
okechey,26
okechy,1
okedaiin,8
okedain,15
okedal,12
okedam,29
okedar,14
okedor,28
okedy,35
okeeam,25
okeear,28
okeed,49
okeedain,10
okeedal,24
okeedar,38
okeedy,20
okeeedy,8
okeeeody,26
okeees,25
okeeey,20
okeeo,37
okeeody,20
okeeol,35
okeeom,23
okeeor,37
okeeos,14
okees,20
okeeshy,46
okeey,20
okeo,37
okeod,46
okeodain,38
okeodar,2
okeody,20
okeol,20
okeoly,15
okeom,25
okeor,20
okeos,46
okeshy,24
okey,35
okiin,34
oko,24
okochey,3
okodaiin,32
okodar,29
okody,37
okoiin,33
okol,43
okolaiin,38
okolar,17
okolchedy,5
okolchey,9
okolchy,41
okoldy,1
okolshy,30
okoly,28
okom,16
okor,20
okoraiin,29
okos,3
okshedy,1
okshey,33
oksho,42
okshy,24
oky,20
okydy,16
ol,20
olaiin,33
olain,20
olair,48
olal,2
olaly,10
olam,10
olar,37
olchar,15
olchdy,33
olched,25
olchedy,35
olcheedy,49
olcheeey,29
olcheey,12
olcheo,0
olcheody,41
olcheol,14
olcheor,44
olchey,35
olcho,41
olchy,8
oldaiin,37
oldal,28
oldam,24
oldar,14
oldor,10
oldy,14
oleedy,34
oleeedy,49
oleeey,0
oleeol,4
oleey,1
olfchedy,2
olfchey,42
olkaiin,37
olkain,33
olkair,24
olkal,33
olkam,33
olkar,35
olkchdy,8
olkchedy,1
olkchey,0
olkchy,1
olkechy,40
olkedy,37
olkeear,2
olkeechy,18
olkeedy,20
olkeeedy,3
olkeeey,12
olkeeo,43
olkeeody,14
olkees,29
olkeey,20
olkeol,14
olkey,8
olkol,38
olkor,48
olky,37
olo,44
oloiin,2
olol,20
olor,8
oloraiin,0
olos,11
olpchedy,24
olr,6
ols,1
olshdy,6
olshedy,43
olsheed,25
olsheedy,1
olsheey,12
olsheody,46
olsheol,46
olshey,33
olsho,42
olshy,28
oltedy,12
olteedy,14
olteody,5
oly,35
om,43
oor,34
opaiin,6
opain,25
opair,0
opal,49
opalal,23
opalkaiin,48
opalor,7
opam,32
opar,1
opary,34
opchal,40
opchar,40
opchdy,20
opchear,28
opched,29
opchedaiin,33
opchedy,35
opcheedy,2
opcheey,46
opcheody,5
opcheol,33
opchey,12
opchol,10
opchor,31
opchsd,18
opchy,34
opdaiin,16
opol,24
opolaiin,5
opor,3
opshedy,0
opy,6
opydaiin,22
opydy,11
or,20
oraiiin,49
oraiin,20
orain,20
orair,14
oral,35
oram,43
orar,40
orchedar,28
orcheey,3
orcheos,15
orchey,46
ordain,15
oro,18
orol,35
oroly,29
orom,21
oror,24
orshedy,40
orsheey,5
orshy,25
ory,43
os,43
osaiin,6
osain,16
osal,5
oshedy,29
oshey,49
ot,20
ota,22
otaiin,37
otaiir,48
otain,37
otair,37
otairor,38
otal,35
otalaiin,46
otalal,24
otalam,6
otalar,28
otaldal,42
otaldar,11
otaldy,48
otalkedy,48
otalor,49
otalshedy,49
otalsy,39
otaly,14
otam,20
otan,38
otar,20
otaraiin,24
otarain,48
otaral,42
otaram,15
otarar,7
otary,24
otch,27
otcham,3
otchar,1
otchdal,3
otchdy,37
otchedy,8
otcheey,25
otcheodaiin,18
otcheody,5
otchey,37
otcho,33
otchod,40
otchody,18
otchol,14
otchor,35
otchy,37
oteaiin,31
oteain,11
oteal,29
otear,32
otechdy,12
otechy,0
otedaiin,0
otedain,2
otedal,28
otedam,40
otedar,33
otedy,37
oteeal,41
oteeam,14
oteed,15
oteedaiin,2
oteedal,38
oteedar,3
oteedy,8
oteeedy,2
oteeey,8
oteeo,37
oteeody,8
oteeol,8
oteeor,44
oteeos,43
otees,43
oteey,20
oteo,1
oteod,21
oteodaiin,15
oteodain,31
oteodal,28
oteodar,8
oteody,20
oteol,43
oteor,12
oteos,33
oteotey,0
otes,34
otey,20
oto,40
otoar,31
otodaiin,43
otodal,25
otody,20
otol,20
otoldy,28
otoly,46
otor,35
otorchy,45
otory,32
otos,8
otoy,24
otshdy,48
otshedy,14
otshey,24
otshol,18
otshy,6
oty,20
otydy,0
oy,3
oykeey,39
p,1
paiin,14
paiir,0
pair,37
pairar,30
par,6
pchar,2
pchdaiin,31
pchdair,18
pchdar,28
pchdol,25
pchdy,33
pchear,31
pchedaiin,48
pchedain,23
pchedal,1
pchedar,12
pchedy,35
pcheey,5
pcheodar,31
pcheody,49
pcheol,33
pcheor,3
pcheos,28
pchey,29
pchocthy,7
pchodaiin,22
pchodain,5
pchodar,0
pchodol,6
pchody,2
pchol,1
pcholky,32
pchor,24
pchy,42
pochedy,23
podaiin,31
podair,29
poiin,23
pol,20
polaiin,49
polal,21
polar,38
polarar,34
polchdy,11
polched,42
polchedy,33
polor,32
polshy,24
por,15
poraiin,38
pshdar,26
pshedy,32
psheody,12
pshodaiin,47
pshol,2
q'o,41
qaiin,40
qckhedy,10
qckhy,29
qcphhedy,21
qcthhy,43
qcthy,4
qeeey,46
qeey,40
qekchdy,46
qekeey,24
qekor,23
qkain,5
qkol,34
qo,20
qoaiin,37
qoain,1
qoair,0
qoal,14
qoar,46
qochedy,28
qocheey,15
qocheol,34
qochey,35
qockhedy,44
qockheey,40
qockheol,34
qockhey,35
qockhol,35
qockhy,37
qocky,34
qocphdy,9
qocthedy,12
qocthey,2
qocthy,18
qod,49
qodaiin,35
qodain,37
qodair,15
qodal,1
qodam,18
qodar,8
qodchy,34
qodeedy,0
qodeey,44
qody,33
qoedaiin,49
qoedy,14
qoeear,31
qoeeda,23
qoeedaiin,49
qoeedy,8
qoeeedy,49
qoeees,24
qoeeey,43
qoeeo,3
qoeeody,24
qoeeol,5
qoeeor,49
qoeey,43
qoekeey,24
qoeol,12
qofchdy,0
qofchedy,33
qofcheol,5
qofchol,18
qoiiin,14
qoiin,18
qok,46
qoka,48
qoka:ol,42
qokaiin,20
qokaiinos,40
qokaiir,40
qokain,20
qokair,20
qokal,20
qokalchdy,0
qokaldy,33
qokalor,12
qokaly,37
qokam,8
qokan,40
qokar,35
qokaral,31
qokaram,7
qokarary,38
qokas,40
qokchal,31
qokchar,18
qokchd,12
qokchdy,33
qokchedy,35
qokcheey,28
qokcheo,13
qokcheody,34
qokchey,14
qokcho,43
qokchod,40
qokchol,20
qokchor,49
qokchy,20
qokdy,46
qokeain,15
qokeal,6
qokear,1
qokechdy,8
qokechedy,3
qokechy,8
qoked,33
qokedaiin,40
qokedain,6
qokedal,46
qokedar,43
qokedy,35
qokeeaiin,25
qokeeal,44
qokeear,44
qokeechy,12
qokeed,8
qokeedaiin,34
qokeedain,3
qokeedal,5
qokeedar,15
qokeedy,35
qokeeedy,33
qokeees,14
qokeeey,37
qokeeo,43
qokeeod,34
qokeeodaiin,6
qokeeodar,17
qokeeody,20
qokeeol,33
qokeeor,1
qokeeos,12
qokees,14
qokeey,20
qokeo,1
qokeochy,5
qokeod,24
qokeody,43
qokeol,33
qokeor,35
qokeos,15
qokeoy,48
qokey,8
qokl,20
qoko,12
qokod,14
qokody,46
qokoiin,18
qokol,43
qokolchedy,49
qokor,37
qokorar,38
qokshd,46
qokshdy,34
qokshedy,12
qokshey,20
qokshy,1
qoky,20
qol,20
qolaiin,6
qolchedy,20
qolcheedy,3
qolcheey,3
qolcheol,10
qolchey,14
qolkaiin,18
qolkain,46
qolkeedy,14
qolkeey,6
qolky,2
qolshedy,8
qolsheedy,1
qolshey,43
qolshy,29
qoly,44
qool,44
qoor,20
qop,15
qopaiin,1
qopal,41
qopar,12
qopchar,7
qopchdy,8
qopchedy,8
qopcheedy,15
qopcheey,40
qopcheody,0
qopchey,8
qopchol,12
qopchy,8
qopol,49
qopor,40
qopshedy,40
qopy,20
qor,37
qorain,3
qos,34
qosain,7
qot,33
qotaiin,20
qotain,8
qotair,1
qotal,20
qotaly,33
qotam,14
qotar,35
qotarain,39
qotch:eey,3
qotchar,1
qotchd,24
qotchdy,33
qotched,49
qotchedar,25
qotchedy,35
qotcheedy,41
qotcheo,40
qotchey,37
qotcho,14
qotchod,48
qotchody,48
qotchol,33
qotchor,8
qotchy,20
qoteal,29
qotechy,29
qoted,13
qotedaiin,40
qotedal,43
qotedar,44
qotedor,5
qotedy,35
qoteed,15
qoteedar,2
qoteedy,37
qoteeedy,24
qoteeey,9
qoteeo,41
qoteeody,1
qoteeol,18
qotees,15
qoteey,20
qoteo,1
qoteody,20
qoteol,37
qoteor,14
qotey,8
qotl,3
qoto,41
qotody,24
qotoiin,28
qotol,20
qotolchy,29
qotor,35
qotshdy,40
qotshedy,24
qotsheod,14
qotshey,37
qotshy,3
qoty,20
qotyshey,3
qoy,43
r,43
r:s,16
r:saiin,18
raiin,33
rain,8
rair,44
ral,43
raly,44
ram,35
rar,37
raraiin,12
raram,41
rary,14
rchedy,33
rcheey,2
rchey,5
ro,44
rodaiin,42
rodam,9
rody,3
roiin,40
rol,37
rolchy,14
rolkeedy,3
ror,14
rorol,18
rshedy,12
rsheedy,3
rshey,40
ry,18
s,20
s:r,49
saiin,37
saiir,30
saim,0
sain,20
sair,35
sairol,2
sairy,13
sal,37
salar,17
salchedy,24
saldy,38
salo,13
saly,2
sam,40
sar,37
saraiin,44
saraiir,3
sarain,16
saral,13
sarar,42
sarol,15
sary,5
schdy,15
schedy,8
schey,49
schol,37
schor,34
schy,7
sh,1
sha,4
sha:or,34
shaiin,8
shaikhy,29
shain,46
shal,1
shalky,34
sham,3
shar,8
shchy,42
shckhedy,49
shckhey,14
shckhy,20
shcthey,43
shcthhy,49
shcthy,35
shd,3
shdaiin,13
shdair,0
shdal,1
shdar,14
shdy,37
she,35
she:?y,2
sheaiin,24
sheain,0
sheal,37
sheam,10
shear,12
shechy,31
sheckhedy,33
sheckhey,1
sheckhy,20
shecphy,12
shecthy,20
shed,12
shedaiin,8
shedain,33
shedal,14
shedam,24
shedar,43
shedy,20
shee,14
sheeckhy,10
sheed,40
sheedy,35
sheeeky,33
sheees,15
sheeey,33
sheek,0
sheekar,41
sheekchy,44
sheekeey,34
sheeky,8
sheeo,1
sheeod,31
sheeodar,48
sheeody,44
sheeol,20
sheeor,15
shees,14
sheet,49
sheety,1
sheey,20
shek,14
shekaiin,24
shekain,18
shekal,14
shekchy,2
shekeey,49
shekey,0
sheky,8
sheo,20
sheoal,3
sheockhey,46
sheocphy,10
sheocthy,38
sheod,35
sheodaiin,24
sheodal,6
sheody,20
sheokaiin,18
sheokeey,28
sheokey,17
sheoky,14
sheol,37
sheoldy,48
sheolkain,0
sheor,8
sheos,20
sheoy,24
shepchy,0
shes,43
shety,8
shey,35
shey:o,48
shkaiin,24
shkain,18
shkair,29
shkar,11
shkchedy,38
shkchy,34
shkeey,38
shkeody,7
shky,33
shl,41
sho,20
sho:al,2
shoaiin,40
shoar,40
shocfhy,34
shockhey,27
shockhy,6
shocthy,20
shod,33
shodaiin,8
shodain,18
shodal,2
shody,37
shoiin,49
shoikhy,14
shok,6
shokaiin,24
shokal,46
shokar,48
shokchy,15
shokeey,3
shokey,5
shoky,1
shol,35
sholdaiin,33
sholdy,8
sholkeedy,2
sholor,3
sholy,29
shom,15
shor,8
shory,48
shos,46
shosaiin,14
shotchey,34
shotchy,31
shoteeody,16
shoty,40
shs,0
shtchy,2
shty,29
shy,20
shyy,23
skaiin,6
so,7
soaiin,3
sodaiin,7
sodal,11
sodar,25
sody,28
soiiin,0
soiin,8
soiir,40
soin,6
sokeedy,25
sokeey,7
sol,37
solchedy,46
solchey,18
solkaiin,18
solkain,7
solkedy,3
solkeedy,46
solkeey,42
sols,2
solshedy,40
solsheey,48
solshey,40
soly,44
sor,33
soraiin,44
sorain,9
soral,10
sos,33
soshy,17
sotey,18
sshedy,18
ssheey,37
sshey,2
sy,14
sydy,38
t,5
taiin,37
tain,12
tair,12
tal,35
tam,18
tar,43
taraiin,18
tarar,22
tarol,44
tchar,37
tchdor,33
tchdy,20
tchedor,13
tchedy,35
tcheey,49
tcheo,25
tcheody,49
tcheol,29
tcheor,6
tchey,35
tchodaiin,16
tchody,40
tchoky,16
tchol,33
tchor,33
tchy,8
tedaiin,49
tedain,46
tedam,15
tedy,20
teedar,24
teedy,8
teeedy,0
teeodaiin,11
teeody,1
teeol,46
teey,20
teodal,44
teodar,40
teody,46
teol,37
teor,48
tey,33
toaiin,13
toar,40
tockhy,48
todaiin,1
todal,34
tody,12
toiin,11
tokain,48
toky,0
tol,37
tolshey,42
tor,43
torchey,0
torchy,42
toror,9
torshor,30
tos,6
totol,38
toy,26
tshdy,6
tshedar,32
tshedy,40
tshey,12
tsho,3
tshod,38
tshol,3
tshor,29
tshy,3
ty,20
v,29
x,6
y,20
yaiin,11
yair,31
ychain,21
ycheain,31
ychear,6
yched,33
ychedaiin,42
ychedal,11
ychedar,10
ychedy,1
ycheedy,33
ycheeo,15
ycheeody,10
ycheeor,7
ychees,28
ycheey,37
ychekchy,32
ycheo,49
ycheod,9
ycheodain,41
ycheody,48
ycheoky,16
ycheol,33
ycheor,46
ycheoraiin,38
yches,0
ychey,43
ycho,16
ychody,16
ychol,49
ychor,49
ychy,11
ydaiin,8
ydain,8
ydair,41
ydal,34
ydar,48
ydy,15
yfchey,30
yfolaiin,48
yk,45
ykaiin,20
ykain,14
ykair,12
ykal,33
ykaly,1
ykam,15
ykar,8
ykchdy,24
ykchedy,33
ykcheor,3
ykchey,5
ykcho,38
ykchol,8
ykchor,49
ykchy,43
ykedy,35
ykeear,48
ykeedy,35
ykeeedy,5
ykeeey,24
ykeeo,46
ykeeody,1
ykeeol,14
ykeeor,15
ykeeos,25
ykees,18
ykeey,35
ykeody,8
ykeol,35
ykeor,46
ykeos,42
ykey,24
ykhey,48
ykoiin,2
ykol,12
ykolairol,26
ykor,33
yksheol,31
ykshy,41
yky,33
ylkaiin,18
yol,28
yor,7
ypaim,23
ypair,21
ypar,43
ypchdy,28
ypchedy,43
ypchey,49
ypchor,40
ypchy,41
ysaiin,44
yshedy,12
ysheedy,49
ysheeody,9
ysheey,33
ysheod,22
ysheol,29
ysheor,28
yshey,35
ysho,41
yshor,40
ytaiin,8
ytain,35
ytair,31
ytal,8
ytaly,6
ytam,49
ytar,8
ytchdy,20
ytchedy,40
ytchey,8
ytchody,0
ytchol,0
ytchor,8
ytchy,20
ytedy,37
yteedy,37
yteeey,12
yteeody,2
yteey,20
yteody,14
yteol,49
yteor,18
yteos,18
ytey,33
yto,28
yto:al,18
ytodaiin,5
ytody,46
ytoiin,28
ytol,35
ytor,37
ytshy,18
yty,35
